Distillery;Location;Region;Founded;Owner;Number wash stills;Capacity [l];Number mid stills;Capacity [l];Number spirit stills;Capacity [l];Number column stills;Capacity;Production [l];Water source;Cask type(s);Status;Type;Product Info, More info;Country
Saxa Vord;Unst;Island;2015;Shetland Distillery Company;?;?;?;?;?;?;X;X;?;?;?;Operational;Malt whisky;;Scotland
Scapa;Kirkwall;Island;1885;Chivas Brothers;1;?;X;X;1;?;X;X;1 000 000;Lingro Burn;?;Operational;Malt whisky;Scapa Glansa, Skiren;Scotland
Speyburn;Rothes;Speyside;1897;Inver House Distillers;1;?;X;X;1;?;X;X;1 000 000;Granty Burn;?;Operational;Malt whisky;;Scotland
Speyside;Drumguish;Speyside;1990;Harvey's of Edinburgh Ltd.;1;?;X;X;1;?;X;X;600 000;River Tromie;?;Operational;Malt whisky;;Scotland
Springbank;Campbeltown;Campbeltown;1828;J&A Mitchell & Company;1;10 000;X;X;2;6 000;X;X;750 000;Crosshill Loch;Bourbon, Sherry, Wine, Rum, Calvados;Operational;Malt whisky;Springbank, Longrow, Hazelburn;Scotland
Strathearn;Methven;Highland;2013;Douglas Laing & Co.;1;?;X;X;1;?;X;X;?;?;?;Operational;Malt whisky;;Scotland
Strathisla;Keith;Speyside;1786;Chivas Brothers;2;?;X;X;2;?;X;X;2 400 000;?;?;Operational;Malt whisky;;Scotland
Strathmill;Keith;Speyside;1891;Diageo;2;?;X;X;2;?;X;X;1 800 000;Local springs;?;Operational;Malt whisky;;Scotland
Talisker;Carbost, Isle of Skye;Island;1830;Diageo;2;10 000;X;X;3;7 479;X;X;2 600 000;Carbost / Cnoc nan Speireag (Hawk Hill);?;Operational;Malt whisky;Talisker;Scotland
Tamdhu;Knockando;Speyside;1897;Ian Macleod Distillers;3;?;X;X;3;?;X;X;4 500 000;?;?;Operational;Malt whisky;;Scotland
Tamnavulin;Tomnavoulin;Speyside;1966;Whyte & Mackay;3;?;X;X;3;?;X;X;4 000 000;Springs in Easterton;?;Operational;Malt whisky;;Scotland
Teaninich;Alness;Highland;1817;Diageo;6;?;X;X;6;?;X;X;2 300 000;Dairywell spring;?;Operational;Malt whisky;;Scotland
Tobermory;Tobermory, Isle of Mull;Island;1798;Distell;2;?;X;X;2;?;X;X;1 000 000;?;?;Operational;Malt whisky;Tobermory 12, Tobermory 21, Ledaig 10, Ledaig 18;Scotland
Tomatin;Tomatin;Highland;1897;Takara Shuzo Co;6;?;X;X;6;?;X;X;5 050 000;Allt na Fr?the;?;Operational;Malt whisky;Tomatin, C? B?can, Antiquary, Talisman;Scotland
Tomintoul;Ballindalloch;Speyside;1964;Angus Dundee Distiller;2;?;X;X;2;?;X;X;2 200 000;Ballantruan spring;?;Operational;Malt whisky;Tomintoul, Tomintoul Peaty Tang;Scotland
Torabhaig;Teangue, Isle of Skye;Island;2017;Mossburn Distillers;1;?;X;X;1;?;X;X;500 000;Allt Gleann Thorabhaig and the Allt Breacach;?;Operational;Malt whisky;;Scotland
Tormore;Grantown-on-Spey;Speyside;1958;Elixir Distillers;4;?;X;X;4;?;X;X;3 700 00;?;?;Operational;Malt whisky;;Scotland
Tullibardine;Blackford;Highland;1949;Picard Vins & Spiritueux;2;?;X;X;2;?;X;X;2 700 000;Ochil Hills, Danny Burn;?;Operational;Malt whisky;;Scotland
Uile-bheist;Inverness;Highland;2023;Victoria and John Erasmus;?;?;?;?;?;?;X;X;?;?;?;Operational;Malt whisky;;Scotland
Wolfburn;Thurso;Highland;1822;Aurora Brewing;1;?;X;X;1;?;X;X;125 000;Wolf Burn;American Oak Bourbon, Oak Quarter Cask, Bourbon Hogsheads, Oloroso sherry;Operational;Malt whisky;;Scotland
8 Doors;John O’Groats;Highland;2022;Kerry and Derek Campbell;?;?;?;?;?;?;X;X;?;?;?;Operational;Malt whisky;;Scotland
Cameronbridge;Fife;?;1824;Diageo;X;X;X;X;X;X;3;?;136 000 000;River Leven;?;Operational;Grain whisky;;Scotland
Girvan;Girvan;?;1963;William Grant & Sons;X;X;X;X;X;X;5;?;115 000 000;River Girvan;?;Operational;Grain whisky;;Scotland
Invergordon;Easter Ross;?;1959;Whyte & Mackay;X;X;X;X;X;X;3 Coffey;?;36 000 000; Loch Glass;?;Operational;Grain whisky;3 coffey stills;Scotland
Loch Lomond;Alexandria;?;1964;Loch Lomond Group;4;?;X;X;4;?;3;?;20 000 000;Borehole;?;Operational;Grain whisky;;Scotland
North British;Edinburgh;?;1885;Diageo/Edrington;X;X;X;X;X;X;?;?;?;;?;Operational;Grain whisky;;Scotland
Starlaw;Livingston;?;2010;La Martiniquaise;X;X;X;X;X;X;5;?;25 000 000;?;?;Operational;Grain whisky;;Scotland
Strathclyde;Glasgow;?;1927;Chivas Brothers;X;X;X;X;X;X;2;?;40 000 000;;?;Operational;Grain whisky;;Scotland
Adelphi;Glasgow;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1907, demolished 1970;Scotland
Albyn;Millknowe;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1920, demolished 1929;Scotland
Ardgowan;Greenock;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1952, plans for the distillery to reopen in 2025;Scotland
Ardlussa;Campbeltown;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1927, demolished;Scotland
Argyll;Campbeltown;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1923, demolished;Scotland
Auchinblae;Auchenblae;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1929, demolished;Scotland
Auchnagie;Tulliemet;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1911, demolished;Scotland
Auchtermuchty;Auchtermuchty;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1926, buildings have remained intact;Scotland
Auchtertool;Auchtertool;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1927, demolished;Scotland
Ballechin;Pitlochry;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1927, demolished;Scotland
Banff;Banff;Speyside;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1983, demolished 1991;Scotland
Bankier;Denny;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1928, demolished 1981;Scotland
Benachie;Insch;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1915, demolished;Scotland
Benmore;Campbeltown;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1927, buildings have remained intact;Scotland
Ben Morven;Halkirk;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1914, demolished;Scotland
Ben Wyvis;Dingwall;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1977, demolished 1977;Scotland
Bon Accord;Aberdeen;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1913, demolished;Scotland
Burnside;Campbeltown;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1919, demolished;Scotland
Caledonian;Campbeltown;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1842, demolished;Scotland
Campbeltown;Campbeltown;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1924, demolished;Scotland
Caperdonich;Rothes;Speyside;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;2002, demolished 2010;Scotland
Clydesdale;Wishaw;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1919, demolished 1988;Scotland
Coleburn;Elgin;Speyside;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1985, plans for the distillery to reopen in 2025;Scotland
Convalmore;Dufftown;Speyside;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1985, converted into a whisky warehouse facility;Scotland
Dalaruan;Campbeltown;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1922, demolished;Scotland
Dalintober;Campbeltown;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1925, demolished;Scotland
Dallas Dhu;Forres;Speyside;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1983, plans for the distillery to reopen in 2025;Scotland
Dean;Edinburgh;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1922, demolished;Scotland
Devanha;Aberdeen;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1915, demolished;Scotland
Drumcaldie;Fife;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1903, demolished 1988;Scotland
Drumore;Campbeltown;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1847, demolished;Scotland
Edinburgh;Edinburgh;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1925, demolished;Scotland
Finnieston;Glasgow;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1827, demolished;Scotland
Glen Albyn;Inverness;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1983, demolished 1988;Scotland
Glenaden;Old Deer;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1915, demolished;Scotland
Glencawdor;Nairn;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1927, demolished 1930;Scotland
Glencoull;Angus;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1927, demolished 1934;Scotland
Glenesk;Montrose;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1985, demolished 1996;Scotland
Glen Flagler;Airdrie;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1985, converted into a whisky warehouse facility;Scotland
Glenfoyle;Gargunnock;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1923, demolished;Scotland
Glengilp;Ardrishaig;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1937, demolished 1996;Scotland
Gleniffer;Elderslie;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1894, demolished;Scotland
Glenlochy;Fort William;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1983, demolished 1991;Scotland
Glenmavis;Bathgate;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1910, demolished;Scotland
Glen Mhor;Inverness;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1983, demolished 1986;Scotland
Glen Nevis;Campbeltown;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1923, demolished;Scotland
Glenramskill;Campbeltown;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1854, demolished;Scotland
Glenside;Campbeltown;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1926, demolished;Scotland
Glenskiach;Evanton;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1926, demolished 1933;Scotland
Glentarras;Langholm;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1914, demolished;Scotland
Glenugie;Peterhead;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1983, demolished 1985;Scotland
Glenury;Stonehaven;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1985, demolished 1993;Scotland
Grandtully;Grandtully;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1910, demolished;Scotland
Grange;Burntisland;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1925, demolished 1990;Scotland
Greenock;Greenock;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1915, demolished;Scotland
Highland;Campbeltown;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1852, demolished;Scotland
Hazelburn;Campbeltown;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1925, demolished 1926;Scotland
Imperial;Carron;Speyside;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1998, demolished 2013;Scotland
Inverleven;Dumbarton;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1991, demolished 2017;Scotland
Isla;Perth;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1926, demolished;Scotland
Kinclaith;Glasgow;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1976, demolished 1976;Scotland
Kinloch;Campbeltown;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1926, demolished 1928;Scotland
Kintyre;Campbeltown;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1920, demolished;Scotland
Ladyburn;Girvan;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1975, demolished 1976;Scotland
Langholm;Langholm;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1917, demolished 1926;Scotland
Littlemill;Bowling;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1992, demolished 2004;Scotland
Loch Katrine;Glasgow;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1920, demolished;Scotland
Lochside;Montrose;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1992, demolished 2004;Scotland
Lochhead;Campbeltown;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1928, demolished;Scotland
Lochruan;Campbeltown;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1925, demolished;Scotland
Longrow;Campbeltown;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1896, demolished;Scotland
Meadowburn;Campbeltown;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1882, demolished;Scotland
Millburn;Inverness;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1985, demolished 1988;Scotland
Mossfield;Campbeltown;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1837, demolished;Scotland
North Port;Brechin;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1983, demolished 1994;Scotland
Parkmore;Dufftown;Speyside;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1988, converted into a whisky warehouse facility;Scotland
Pittyvaich;Dufftown;Speyside;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1993, demolished 2002;Scotland
Port Charlotte;Port Charlotte;Islay;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1929, converted into a whisky warehouse facility;Scotland
Provanmill;Glasgow;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1922, demolished 1953;Scotland
Saucel;Paisley;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1915, demolished;Scotland
Springside;Campbeltown;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1926, demolished;Scotland
St. Magdalene;Linlithgow;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1983, buildings were converted into apartments;Scotland
Strathdee;Aberdeen;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1942, demolished;Scotland
Stromness;Orkney;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1928, demolished 1940;Scotland
Stronarchie;Forgandenny;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1928, demolished 1950;Scotland
Tambovie;Milngavie;Lowland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1914, demolished 1921;Scotland
Thistle;Campbeltown;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1837, demolished;Scotland
Toberanrigh;Campbeltown;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1860, demolished;Scotland
Towiemore;Botriphnie;Highland;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1930, demolished;Scotland
Union;Campbeltown;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1850, demolished;Scotland
West Highland;Campbeltown;Campbeltown;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Malt whisky;1852, demolished;Scotland
Caledonian;Haymarket;?;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Grain whisky;1988, demolished;Scotland
Cambus;Tullibody;?;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Grain whisky;1993, converted into a whisky warehouse facility and cask filling operation;Scotland
Carsebridge;Alloa;?;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Grain whisky;1983, demolished 1990;Scotland
Dumbarton;West Dunbartonshire;?;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Grain whisky;2002, demolished 2017;Scotland
Dundashill;Glasgow;?;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Grain whisky;1902, merged with Port Dundas distillery;Scotland
Garnheath;Airdrie;?;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Grain whisky;1986, demolished 1986;Scotland
Gartloch;Chryston;?;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Grain whisky;1920, demolished;Scotland
Kirkliston;Kirkliston;?;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Grain whisky;1920, buildings have remained intact;Scotland
North of Scotland;Cambus;?;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Grain whisky;1980, demolished 1993;Scotland
Port Dundas;Glasgow;?;?;X;X;X;X;X;X;X;X;X;X;X;?;Closed;Grain whisky;2010, demolished 2011;Scotland
Pearse Lyons Distillery;?;?;?;?;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Teeling Distillery;?;?;?;?;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Slane Distillery;?;?;?;?;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
New Midleton Distillery;?;?;?;Pernod Ricard (Irish Distillers);?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Tullamore Distillery;?;?;?;Pernod Ricard (Irish Distillers);?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Dublin Liberties Distillery, The;?;?;?;?;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Roe & Co Distillery;?;?;?;Diageo;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Cooley Distillery;Louth;Ireland;?;Beam Suntory;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Glendalough Distillery;?;?;?;?;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Shed Distillery, The;?;?;?;?;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Kilbeggan Distillery;Westmeath;Ireland;?;Beam Suntory;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Old Bushmills Distillery;Antrim;Ireland;?;Casa Cuervo;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Lough Gill Distillery;?;?;?;?;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Dingle Whiskey Distillery;?;?;?;?;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Blackwater Distillery;?;?;?;?;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Lough Ree Distillery;?;?;?;?;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Powerscourt Distillery;?;?;?;Powerscourt Estate;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Killowen Distillery;?;?;?;?;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Clonakilty Distillery;?;?;?;?;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Blacks of Kinsale;?;?;?;?;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Hinch Distillery;Down;Ireland;?;?;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Waterford Distillery;?;?;?;?;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Tipperary Boutique Distillery;?;?;?;?;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Gortinore Distillery;?;?;?;?;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Echlinville Distillery;?;?;?;?;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
West Cork Distillers;?;?;?;?;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Ballykeefe Distillery;?;?;?;?;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Connacht Whiskey Distillery, The;Mayo;Ireland;?;?;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Achill Island Distillery;?;?;?;?;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Great Northern Distillery;?;?;?;?;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Royal Oak Distillery;?;?;?;?;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Old Carrick Mill, Ltd.;?;?;?;?;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Matt D'Arcy & Co., Ltd.;?;?;?;?;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
Killarney Brewing & Distilling Co.;?;?;?;?;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
The Quiet Man Craft Distillery;?;?;?;?;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
McAllister Distillers, Ltd.;?;?;?;?;?;?;?;?;?;?;X;X;?;?;?;Operational;;;Ireland
